Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
ENRO2duzykwadrat,Area,0.63729,0.13683,0.63815,0.13567,0.00049,GNDVI,"1 20JZB02,07_JESI30",1,30,0.214706021
ENRO2malykwadrat,Area,0.66171,0.10638,0.66246,0.10488,0.00023,GNDVI,"1 20JZB02,07_JESI30",1,30,0.16076529
ENRO3duzykwadrat,Area,0.66979,0.12974,0.66869,0.12803,0.00048,GNDVI,"1 20JZB02,07_JESI30",1,30,0.193702504
ENRO3malykwadrat,Area,0.70756,0.09247,0.70564,0.08975,0.00025,GNDVI,"1 20JZB02,07_JESI30",1,30,0.130688564
ENRO4duzykwadrat,Area,0.71477,0.09828,0.71117,0.09621,0.0005,GNDVI,"1 20JZB02,07_JESI30",1,30,0.137498776
ENRO4malykwadrat,Area,0.73146,0.083,0.72537,0.07884,0.00025,GNDVI,"1 20JZB02,07_JESI30",1,30,0.113471687
ENRO5duzykwadrat,Area,0.69387,0.10855,0.69203,0.10698,0.00044,GNDVI,"1 20JZB02,07_JESI30",1,30,0.156441408
ENRO5malykwadrat,Area,0.7157,0.07904,0.71278,0.07606,0.00023,GNDVI,"1 20JZB02,07_JESI30",1,30,0.110437334
POLO2duzykwadrat,Area,0.61115,0.13331,0.61398,0.1286,0.00052,GNDVI,"1 20JZB02,07_JESI30",1,30,0.218129755
POLO2malykwadrat,Area,0.65672,0.10269,0.65988,0.09448,0.00031,GNDVI,"1 20JZB02,07_JESI30",1,30,0.156368011
POLO3duzykwadrat,Area,0.67788,0.10408,0.67673,0.10204,0.00052,GNDVI,"1 20JZB02,07_JESI30",1,30,0.153537499
POLO3malykwadrat,Area,0.69423,0.09073,0.69215,0.0876,0.00028,GNDVI,"1 20JZB02,07_JESI30",1,30,0.130691558
POLO4duzykwadrat,Area,0.69697,0.08833,0.69478,0.08592,0.00052,GNDVI,"1 20JZB02,07_JESI30",1,30,0.126734293
POLO4malykwadrat,Area,0.706,0.08268,0.70208,0.07928,0.0003,GNDVI,"1 20JZB02,07_JESI30",1,30,0.117110482
POLO5duzykwadrat,Area,0.68156,0.09129,0.67983,0.08957,0.00044,GNDVI,"1 20JZB02,07_JESI30",1,30,0.13394272
POLO5malykwadrat,Area,0.69574,0.08565,0.69281,0.08307,0.00025,GNDVI,"1 20JZB02,07_JESI30",1,30,0.123106333
ENRO2duzykwadrat,Area,0.32007,0.10864,0.32093,0.10797,0.00049,LCI,"1 20JZB02,07_JESI30",1,30,0.339425751
ENRO2malykwadrat,Area,0.32194,0.09052,0.32253,0.08994,0.00023,LCI,"1 20JZB02,07_JESI30",1,30,0.281170404
ENRO3duzykwadrat,Area,0.33638,0.11268,0.33682,0.11231,0.00048,LCI,"1 20JZB02,07_JESI30",1,30,0.334978298
ENRO3malykwadrat,Area,0.35437,0.09952,0.35457,0.09931,0.00025,LCI,"1 20JZB02,07_JESI30",1,30,0.280836414
ENRO4duzykwadrat,Area,0.37532,0.11318,0.3753,0.11314,0.0005,LCI,"1 20JZB02,07_JESI30",1,30,0.301556006
ENRO4malykwadrat,Area,0.38015,0.09849,0.38013,0.09846,0.00025,LCI,"1 20JZB02,07_JESI30",1,30,0.259081941
ENRO5duzykwadrat,Area,0.35584,0.10846,0.35588,0.10834,0.00044,LCI,"1 20JZB02,07_JESI30",1,30,0.30479991
ENRO5malykwadrat,Area,0.36829,0.0942,0.36824,0.09409,0.00023,LCI,"1 20JZB02,07_JESI30",1,30,0.255776698
POLO2duzykwadrat,Area,0.29792,0.11128,0.30069,0.10946,0.00052,LCI,"1 20JZB02,07_JESI30",1,30,0.373523093
POLO2malykwadrat,Area,0.3168,0.10271,0.31849,0.10104,0.00031,LCI,"1 20JZB02,07_JESI30",1,30,0.324210859
POLO3duzykwadrat,Area,0.33624,0.11344,0.33689,0.11284,0.00052,LCI,"1 20JZB02,07_JESI30",1,30,0.337378063
POLO3malykwadrat,Area,0.33307,0.09736,0.3334,0.09689,0.00028,LCI,"1 20JZB02,07_JESI30",1,30,0.292310926
POLO4duzykwadrat,Area,0.35974,0.1202,0.36002,0.11964,0.00052,LCI,"1 20JZB02,07_JESI30",1,30,0.334130205
POLO4malykwadrat,Area,0.34457,0.0964,0.34459,0.09639,0.0003,LCI,"1 20JZB02,07_JESI30",1,30,0.279768987
POLO5duzykwadrat,Area,0.3359,0.10803,0.33597,0.10733,0.00044,LCI,"1 20JZB02,07_JESI30",1,30,0.321613575
POLO5malykwadrat,Area,0.34409,0.09847,0.34394,0.09815,0.00025,LCI,"1 20JZB02,07_JESI30",1,30,0.286175129
ENRO2duzykwadrat,Area,0.67258,0.29452,0.66996,0.29262,0.00049,MCARI,"1 20JZB02,07_JESI30",1,30,0.437895864
ENRO2malykwadrat,Area,0.79316,0.24879,0.78963,0.24651,0.00023,MCARI,"1 20JZB02,07_JESI30",1,30,0.313669373
ENRO3duzykwadrat,Area,0.75417,0.30044,0.74417,0.29464,0.00048,MCARI,"1 20JZB02,07_JESI30",1,30,0.39837172
ENRO3malykwadrat,Area,0.85193,0.2405,0.84295,0.23543,0.00025,MCARI,"1 20JZB02,07_JESI30",1,30,0.282300189
ENRO4duzykwadrat,Area,0.78138,0.28773,0.77042,0.28159,0.0005,MCARI,"1 20JZB02,07_JESI30",1,30,0.368233126
ENRO4malykwadrat,Area,0.88009,0.20504,0.8687,0.19686,0.00025,MCARI,"1 20JZB02,07_JESI30",1,30,0.232976173
ENRO5duzykwadrat,Area,0.8875,0.26506,0.86453,0.25518,0.00044,MCARI,"1 20JZB02,07_JESI30",1,30,0.298659155
ENRO5malykwadrat,Area,0.95538,0.19367,0.93789,0.18363,0.00023,MCARI,"1 20JZB02,07_JESI30",1,30,0.20271515
POLO2duzykwadrat,Area,0.69714,0.34033,0.68867,0.33297,0.00052,MCARI,"1 20JZB02,07_JESI30",1,30,0.488180279
POLO2malykwadrat,Area,0.79596,0.31118,0.78483,0.30363,0.00031,MCARI,"1 20JZB02,07_JESI30",1,30,0.390949294
POLO3duzykwadrat,Area,0.77573,0.31442,0.76135,0.30741,0.00052,MCARI,"1 20JZB02,07_JESI30",1,30,0.405321439
POLO3malykwadrat,Area,0.88216,0.23652,0.86939,0.22979,0.00028,MCARI,"1 20JZB02,07_JESI30",1,30,0.268114628
POLO4duzykwadrat,Area,0.78815,0.32667,0.77396,0.32065,0.00052,MCARI,"1 20JZB02,07_JESI30",1,30,0.41447694
POLO4malykwadrat,Area,0.93061,0.19911,0.91774,0.19168,0.0003,MCARI,"1 20JZB02,07_JESI30",1,30,0.213956437
POLO5duzykwadrat,Area,0.87564,0.25747,0.86303,0.25148,0.00044,MCARI,"1 20JZB02,07_JESI30",1,30,0.294036362
POLO5malykwadrat,Area,0.93497,0.17539,0.92943,0.17179,0.00025,MCARI,"1 20JZB02,07_JESI30",1,30,0.187588907
ENRO2duzykwadrat,Area,0.59542,0.22744,0.59329,0.22658,0.00049,MCARI2,"1 20JZB02,07_JESI30",1,30,0.381982466
ENRO2malykwadrat,Area,0.69453,0.17891,0.69157,0.17819,0.00023,MCARI2,"1 20JZB02,07_JESI30",1,30,0.257598664
ENRO3duzykwadrat,Area,0.66364,0.22249,0.65729,0.2213,0.00048,MCARI2,"1 20JZB02,07_JESI30",1,30,0.335257067
ENRO3malykwadrat,Area,0.75486,0.14851,0.74914,0.14776,0.00025,MCARI2,"1 20JZB02,07_JESI30",1,30,0.196738468
ENRO4duzykwadrat,Area,0.70516,0.19635,0.69594,0.19519,0.0005,MCARI2,"1 20JZB02,07_JESI30",1,30,0.278447445
ENRO4malykwadrat,Area,0.79052,0.10661,0.7821,0.10442,0.00025,MCARI2,"1 20JZB02,07_JESI30",1,30,0.134860598
ENRO5duzykwadrat,Area,0.76774,0.17504,0.74439,0.17564,0.00044,MCARI2,"1 20JZB02,07_JESI30",1,30,0.227993852
ENRO5malykwadrat,Area,0.82717,0.1011,0.81004,0.09986,0.00023,MCARI2,"1 20JZB02,07_JESI30",1,30,0.122223968
POLO2duzykwadrat,Area,0.58801,0.25911,0.5849,0.25636,0.00052,MCARI2,"1 20JZB02,07_JESI30",1,30,0.440655771
POLO2malykwadrat,Area,0.67901,0.21584,0.67515,0.21282,0.00031,MCARI2,"1 20JZB02,07_JESI30",1,30,0.317874553
POLO3duzykwadrat,Area,0.67063,0.22476,0.66423,0.22371,0.00052,MCARI2,"1 20JZB02,07_JESI30",1,30,0.335147548
POLO3malykwadrat,Area,0.75948,0.14626,0.7536,0.14529,0.00028,MCARI2,"1 20JZB02,07_JESI30",1,30,0.192579133
POLO4duzykwadrat,Area,0.68645,0.23303,0.67866,0.23271,0.00052,MCARI2,"1 20JZB02,07_JESI30",1,30,0.339471192
